iter	MultiClass
0	1.067716625
1	1.039788419
2	1.016339803
3	0.9954425369
4	0.9752690375
5	0.957867442
6	0.9428760383
7	0.9307589232
8	0.9197132807
9	0.9102689803
10	0.9012023285
11	0.8928878984
12	0.8842112678
13	0.8778412351
14	0.8706794114
15	0.8645161446
16	0.8585076774
17	0.8529975933
18	0.8475528816
19	0.8438384672
20	0.8398499816
21	0.835847363
22	0.8314853638
23	0.8292601296
24	0.8267135782
25	0.8246267879
26	0.8221270264
27	0.8191349972
28	0.8172133552
29	0.8152080137
30	0.8123951392
31	0.8100989678
32	0.8085412195
33	0.8057890549
34	0.8034395077
35	0.8023683898
36	0.8009359694
37	0.7990637882
38	0.7976936833
39	0.796563046
40	0.7952694036
41	0.7939479369
42	0.7931280187
43	0.7918269318
44	0.7909148523
45	0.7898464581
46	0.7888566183
47	0.7884053071
48	0.7875570472
49	0.7865698794
50	0.7856189828
51	0.7849291056
52	0.7839531031
53	0.7833849452
54	0.7823496907
55	0.7819729617
56	0.7816829825
57	0.781294507
58	0.7808277867
59	0.7800141922
60	0.779178571
61	0.7786810514
62	0.7780404401
63	0.7771544541
64	0.7765888026
65	0.775626886
66	0.7750596476
67	0.7744991591
68	0.7736176243
69	0.7730012004
70	0.7724400621
71	0.7719272448
72	0.7709946643
73	0.7704194869
74	0.7696891272
75	0.7689051371
76	0.7683905825
77	0.7681117369
78	0.767684332
79	0.7674851699
80	0.7668368164
81	0.7661777805
82	0.7656356641
83	0.7649675148
84	0.7645390638
85	0.7642646852
86	0.7638926483
87	0.7633581595
88	0.7629645697
89	0.7624676052
90	0.7616223891
91	0.7608768423
92	0.7606046001
93	0.7603646049
94	0.759506767
95	0.7587293475
96	0.7579477052
97	0.757348151
98	0.7565598225
99	0.7560519808
