iter	Passed	Remaining
0	175	17385
1	178	8762
2	183	5918
3	186	4469
4	189	3597
5	193	3023
6	196	2608
7	200	2307
8	206	2085
9	213	1919
10	217	1761
11	224	1644
12	227	1525
13	232	1426
14	235	1334
15	241	1267
16	244	1194
17	248	1133
18	252	1077
19	257	1031
20	261	984
21	265	942
22	269	901
23	272	862
24	277	832
25	284	810
26	288	780
27	293	754
28	296	727
29	300	701
30	304	678
31	311	662
32	315	639
33	318	619
34	322	599
35	325	579
36	329	561
37	335	548
38	339	531
39	342	514
40	346	498
41	353	488
42	361	479
43	383	487
44	386	472
45	390	458
46	394	445
47	398	431
48	424	442
49	430	430
50	434	417
51	437	404
52	445	395
53	456	388
54	460	377
55	466	366
56	470	355
57	476	345
58	481	334
59	485	323
60	491	313
61	496	304
62	500	293
63	504	284
64	508	273
65	512	263
66	517	254
67	522	245
68	526	236
69	530	227
70	533	217
71	536	208
72	541	200
73	548	192
74	553	184
75	557	175
76	562	168
77	566	159
78	570	151
79	577	144
80	580	136
81	584	128
82	588	120
83	591	112
84	594	104
85	601	97
86	605	90
87	609	83
88	612	75
89	616	68
90	619	61
91	628	54
92	631	47
93	636	40
94	641	33
95	646	26
96	655	20
97	658	13
98	664	6
99	670	0
